"actual_type","predict_type","prob_spam"
"ham","ham",2.56023102386619e-07
"ham","ham",0.000130983536835677
"ham","ham",8.08971262599276e-05
"ham","ham",0.000139650542934048
"spam","spam",0.999999999914241
"ham","ham",0.00350418057419047
"ham","ham",0.00618820530122559
"ham","ham",1.342184648913e-05
"ham","ham",4.389817979961e-05
"spam","spam",0.999999999709704
"ham","ham",3.48192391496177e-05
"ham","ham",7.14237918055625e-05
"ham","ham",0.000856127676725276
"spam","spam",0.999999617682289
"spam","spam",0.999999999995153
"ham","ham",5.68866073408486e-05
"ham","ham",4.91040516686962e-07
"ham","ham",4.84805361465009e-07
"ham","ham",3.11554631123462e-07
"ham","ham",0.0421078485050597
"ham","ham",6.25502757671024e-05
"ham","ham",0.000221876474832333
"ham","ham",1.18676208807895e-06
"ham","ham",0.000129863753877533
"ham","ham",9.26220108529655e-07
"ham","ham",3.18257414856603e-05
"ham","ham",5.70159435857703e-05
"ham","ham",0.000145962038643394
"ham","ham",0.00403589866727639
"ham","ham",0.000150946706287223
"ham","ham",0.00067962247571601
"ham","ham",0.000528500544544081
"ham","ham",0.000589189536184049
"ham","ham",0.000244430680253993
"spam","spam",0.999559590241073
"ham","ham",0.00202584024431314
"ham","ham",0.000174411294928261
"ham","ham",5.00928156459476e-05
"ham","ham",4.407740178528e-08
"spam","spam",0.99999862477415
"ham","ham",9.01156922333639e-05
"ham","ham",3.22018270872444e-05
"ham","ham",3.19466966948624e-06
"ham","ham",0.00147580459112059
"ham","ham",0.000215656495757516
"ham","ham",9.77533019556134e-05
"ham","ham",0.000237457258278164
"ham","ham",2.9145758739382e-06
"ham","ham",4.11009834477913e-09
"spam","spam",0.99999979459637
"ham","ham",0.000485933801526031
"ham","ham",0.00361094725580129
"spam","ham",0.00067962247571601
"ham","ham",1.87043970734692e-05
"ham","ham",0.00067962247571601
"ham","ham",0.000908868301158815
"ham","ham",9.17610765249058e-06
"ham","ham",0.000121890319210061
"spam","ham",0.133396101786554
"ham","ham",1.28165654516128e-11
"ham","ham",0.00067962247571601
"ham","ham",5.12550919456981e-06
"ham","ham",0.000135507398299568
"ham","ham",0.000234975692762808
"ham","ham",0.00067962247571601
"ham","ham",0.000308428105110174
"ham","ham",1.30656108601088e-08
"ham","ham",0.00618605976724113
"ham","ham",0.00152967848796529
"ham","ham",9.3607508251168e-05
"ham","ham",0.00787132041424226
"ham","ham",0.0442145033141289
"spam","ham",0.358266534983925
"ham","ham",3.80184867690638e-09
"ham","ham",0.000489421316599047
"spam","ham",0.122462553458842
"ham","ham",0.000218192306711705
"ham","ham",0.00293055977101428
"ham","ham",7.57617656386323e-05
"ham","ham",0.00532639706787196
"spam","ham",0.0224863218666225
"ham","ham",0.000482065589808631
"ham","ham",0.000103724787545007
"ham","ham",4.10065810687773e-05
"ham","ham",0.000110748796803216
"ham","ham",0.000271657792753188
"ham","ham",6.25128493587807e-08
"ham","ham",8.42832143924854e-05
"ham","ham",0.000116054314630239
"ham","ham",2.34884741487329e-06
"ham","ham",0.00067962247571601
"ham","ham",3.77450398264204e-05
"ham","ham",0.00067962247571601
"ham","ham",0.000869316376065881
"ham","ham",0.00028888374132597
"ham","ham",0.000984452296218246
"ham","ham",0.000878704064723611
"spam","spam",0.999999999183344
"ham","ham",6.70730025375199e-06
"ham","ham",0.239601560815084
"ham","ham",1.99467290759577e-08
"ham","ham",1.63613028798019e-05
"ham","ham",6.67807700575883e-05
"ham","ham",0.000149801796130341
"ham","ham",0.00067962247571601
"ham","ham",0.00067962247571601
"ham","ham",5.25596624579476e-12
"ham","ham",9.63490319901184e-06
"ham","ham",0.000305689597988143
"spam","spam",0.999999977722483
"spam","spam",0.996516095724721
"ham","ham",0.00067962247571601
"ham","ham",0.00311694056367365
"ham","ham",0.000162967115246396
"ham","ham",0.00186583580538287
"ham","ham",0.000817979605024723
"ham","ham",2.34703698402978e-06
"ham","ham",5.32336705633015e-07
"ham","ham",0.00067962247571601
"ham","ham",0.0294126080058721
"ham","ham",0.0274888395245476
"ham","ham",1.51644471385976e-06
"ham","ham",0.00607078841724566
"ham","ham",4.10794811441006e-10
"ham","ham",0.000489421316599047
"spam","spam",0.999999999999142
"ham","ham",4.28725756123221e-08
"ham","ham",8.87289971733654e-05
"ham","ham",0.000489421316599047
"ham","ham",4.71357016024913e-05
"ham","ham",0.000637238990781617
"ham","ham",0.000196966725447862
"spam","spam",0.999999999999999
"ham","ham",0.000148191328581189
"ham","ham",0.00250345481537223
"ham","ham",8.50055455592032e-07
"ham","ham",0.000931352214697929
"ham","ham",1.25111771215102e-06
"ham","ham",0.00674720309929649
"ham","ham",0.000482065589808631
"ham","ham",0.0021353825850578
"ham","ham",0.000214830217788192
"ham","ham",7.3400497669063e-06
"ham","ham",4.10491021798767e-06
"ham","ham",1.38615923047485e-05
"ham","ham",6.37837308943432e-05
"spam","spam",0.999999998406431
"ham","ham",0.000398425892915831
"ham","ham",2.55780502872737e-05
"ham","ham",6.66645740482757e-05
"ham","ham",7.47585600203066e-05
"ham","ham",0.00067962247571601
"spam","spam",0.999999999930931
