age,geo_area,vehicle_type,est_value,miles_driven,college_grad_ind,speeding_ticket_ind,hard_braking_ind,late_driving_ind,clean_driving_ind,expenses
19,urban,suv,28811,11700,0,1,1,0,0,0
30,urban,suv,52603,12811,1,0,0,0,1,6310.99
39,urban,car,113870,9784,1,0,0,0,0,49683.8
64,suburban,suv,35228,17400,0,0,0,0,1,0
33,suburban,suv,19190,14665,0,0,0,0,1,0
27,suburban,suv,22899,12570,1,0,0,0,0,0
62,suburban,car,42172,15539,1,0,0,0,1,0
39,urban,truck,29468,10763,0,0,0,0,1,0
67,rural,car,56469,13811,1,0,0,0,0,0
38,urban,car,103371,11805,1,0,0,0,1,0
38,rural,car,92880,15454,1,1,0,0,1,0
36,suburban,suv,26522,12812,0,1,0,0,1,0
35,suburban,suv,30057,13781,0,0,0,0,0,0
50,urban,car,27032,11631,1,0,0,0,0,0
35,suburban,car,55847,18036,0,1,0,0,1,0
29,rural,truck,63576,6636,0,0,1,0,1,9094.84
55,urban,car,34714,11376,1,0,0,0,1,0
64,urban,suv,45582,16268,1,0,0,0,1,0
34,suburban,car,42846,19715,1,0,0,0,1,17104.76
45,suburban,suv,40075,15043,0,0,1,0,1,0
46,suburban,suv,115832,14045,0,0,0,0,1,0
72,urban,car,27644,10808,1,0,0,0,1,0
24,suburban,suv,26679,14079,0,1,1,0,1,0
16,suburban,suv,35427,10490,0,1,1,0,1,0
26,urban,car,57318,8844,0,0,1,0,1,0
58,suburban,suv,33317,17834,1,0,0,0,1,0
61,rural,suv,25422,16834,1,0,0,0,1,0
49,urban,car,29754,13159,1,0,0,0,1,0
29,rural,car,30916,15574,1,0,0,0,1,0
82,suburban,suv,47122,13681,0,0,0,0,1,0
38,suburban,suv,23973,15614,0,0,0,0,1,0
26,suburban,suv,50300,13092,1,0,1,0,0,0
29,suburban,suv,19983,14108,0,0,0,0,1,0
27,rural,suv,40079,12774,0,0,0,0,1,0
37,urban,suv,29125,11986,0,0,0,0,0,0
47,suburban,suv,125000,14706,1,0,1,0,1,0
76,suburban,truck,113077,15227,0,0,0,0,0,0
41,suburban,suv,29211,10649,0,0,1,0,1,0
65,rural,truck,35704,14806,0,0,0,0,0,0
39,suburban,suv,28803,15040,0,0,0,1,1,0
36,urban,truck,56129,10870,0,0,1,0,1,0
34,urban,suv,56391,9947,0,0,0,0,1,0
42,rural,truck,33719,16232,0,0,1,0,1,0
28,suburban,car,19275,21449,1,0,0,0,1,0
16,urban,suv,30210,14727,0,0,0,0,0,0
44,rural,suv,59969,12436,1,0,0,0,1,0
43,rural,car,30867,17825,0,0,1,0,1,0
38,urban,suv,25663,10714,0,0,1,0,0,0
52,rural,car,37964,16384,0,0,0,0,1,0
40,suburban,suv,81862,12894,1,0,0,0,1,0
48,suburban,suv,56789,13954,0,0,0,0,1,0
68,suburban,suv,37202,13818,0,1,0,0,1,0
47,suburban,suv,30354,10687,0,1,0,0,1,0
23,suburban,suv,26828,12152,1,1,1,1,1,0
41,suburban,minivan,53518,22103,1,0,1,0,0,31548.35
24,suburban,suv,40712,8819,0,0,0,0,1,0
45,rural,truck,31569,15112,0,1,0,1,1,0
28,urban,car,40032,12914,1,1,0,0,1,0
17,urban,suv,40676,13662,0,0,0,0,0,0
42,suburban,suv,28748,13446,0,1,0,0,1,16410.69
37,urban,minivan,36289,13990,0,0,1,0,1,0
46,suburban,suv,23982,13526,0,0,1,0,1,0
49,suburban,car,48860,12523,1,0,0,0,1,0
16,suburban,truck,31916,12868,0,0,0,0,1,0
54,urban,car,31183,9789,0,1,0,0,1,0
73,urban,suv,27521,13091,1,0,0,0,0,25314.13
53,rural,truck,38423,19590,0,0,1,0,1,0
40,rural,suv,40329,32800,0,0,0,0,1,0
18,urban,suv,26935,18131,0,0,1,0,1,0
61,suburban,suv,25406,9711,0,1,1,0,1,0
18,urban,car,30915,11366,0,0,0,0,1,0
50,suburban,suv,26505,12118,0,0,0,0,1,0
72,suburban,suv,30458,12827,0,1,0,0,1,6469.02
39,urban,suv,56868,19949,1,0,0,0,1,0
43,suburban,truck,34197,16489,0,0,1,0,0,6872.78
51,suburban,car,45627,12395,0,0,1,0,1,0
32,rural,suv,56173,18522,0,1,0,0,1,0
47,suburban,suv,82620,10747,0,1,0,0,1,0
19,rural,truck,47896,15084,0,0,0,0,1,0
39,urban,suv,40758,11835,0,0,0,0,1,0
22,urban,truck,61814,12469,0,0,0,0,1,0
35,suburban,suv,38161,20153,0,0,1,0,0,0
35,urban,car,125000,19062,1,1,0,0,1,0
67,urban,suv,28442,12505,0,0,0,0,0,0
17,suburban,car,53385,9295,0,0,0,1,1,0
31,urban,truck,32840,12240,0,0,1,0,0,0
28,suburban,car,31151,15147,0,0,1,0,0,0
45,rural,truck,125000,13587,0,0,0,0,1,0
28,urban,suv,70473,10290,0,0,1,0,1,0
52,urban,suv,125000,9116,0,1,0,0,0,0
54,rural,suv,82820,17401,0,0,0,0,1,0
59,rural,car,26896,16416,0,1,0,0,1,0
40,urban,car,28062,6035,1,0,1,0,1,0
16,urban,suv,38898,11552,0,0,0,0,1,0
38,rural,truck,26534,11809,1,0,0,0,1,0
57,rural,car,36823,27412,0,0,0,0,0,20038.46
40,suburban,truck,29044,15673,0,0,0,0,0,0
40,suburban,car,34104,11220,0,0,0,0,1,0
39,urban,suv,40194,12402,1,0,1,0,1,0
44,suburban,suv,32502,9744,1,0,0,0,1,0
54,suburban,truck,24506,19349,0,0,1,0,0,0
62,rural,truck,44238,23755,0,0,1,0,0,0
34,suburban,truck,37423,7613,0,0,0,0,1,0
53,rural,suv,47145,22510,1,0,0,0,0,0
71,suburban,car,27771,11501,0,1,0,0,1,0
61,suburban,suv,30739,11472,0,0,0,0,1,0
28,urban,car,125000,7231,1,1,1,1,1,0
69,rural,suv,26090,18135,0,1,0,0,0,0
66,urban,suv,32578,9404,0,0,0,0,1,0
