"actual_type","predict_type","prob_spam","prob_ham"
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00016,0.99984
"ham","ham",4e-05,0.99996
"spam","spam",1,0
"ham","ham",2e-04,0.9998
"ham","ham",0.00325,0.99675
"ham","ham",1e-05,0.99999
"ham","ham",1e-05,0.99999
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",4e-05,0.99996
"ham","ham",1e-05,0.99999
"spam","spam",1,0
"spam","spam",1,0
"ham","ham",6e-05,0.99994
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.03882,0.96118
"ham","ham",3e-05,0.99997
"ham","ham",0.00018,0.99982
"ham","ham",0,1
"ham","ham",0.00013,0.99987
"ham","ham",0,1
"ham","ham",5e-05,0.99995
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",5e-04,0.9995
"ham","ham",0.00605,0.99395
"ham","ham",0.00024,0.99976
"ham","ham",0.00039,0.99961
"ham","ham",0.00043,0.99957
"ham","ham",1e-05,0.99999
"spam","spam",0.99972,0.00028
"ham","ham",7e-05,0.99993
"ham","ham",0.00042,0.99958
"ham","ham",4e-05,0.99996
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0.00013,0.99987
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",4e-04,0.9996
"ham","ham",1e-05,0.99999
"ham","ham",1e-04,0.9999
"ham","ham",6e-05,0.99994
"ham","ham",0,1
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0.00041,0.99959
"ham","ham",0.0014,0.9986
"spam","ham",0.00071,0.99929
"ham","ham",1e-05,0.99999
"ham","ham",0.00017,0.99983
"ham","ham",7e-05,0.99993
"ham","ham",0.01036,0.98964
"ham","ham",6e-05,0.99994
"spam","ham",0.00156,0.99844
"ham","ham",0,1
"ham","ham",0.00071,0.99929
"ham","ham",4e-05,0.99996
"ham","ham",0.00048,0.99952
"ham","ham",0.00162,0.99838
"ham","ham",6e-05,0.99994
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"ham","ham",0.01285,0.98715
"ham","ham",0.00321,0.99679
"ham","ham",1e-04,0.9999
"ham","ham",0.01957,0.98043
"ham","ham",0.05283,0.94717
"spam","ham",0.01708,0.98292
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"spam","ham",0.00851,0.99149
"ham","ham",3e-05,0.99997
"ham","ham",0.00282,0.99718
"ham","ham",7e-05,0.99993
"ham","ham",9e-05,0.99991
"spam","spam",0.87702,0.12298
"ham","ham",0.00047,0.99953
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"ham","ham",0.00058,0.99942
"ham","ham",0.00021,0.99979
"ham","ham",0,1
"ham","ham",0.00205,0.99795
"ham","ham",7e-05,0.99993
"ham","ham",0,1
"ham","ham",9e-04,0.9991
"ham","ham",4e-05,0.99996
"ham","ham",0.00027,0.99973
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",0.00211,0.99789
"ham","ham",5e-05,0.99995
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0.14267,0.85733
"ham","ham",0,1
"ham","ham",4e-05,0.99996
"ham","ham",0.00039,0.99961
"ham","ham",0,1
"ham","ham",0.00032,0.99968
"ham","ham",0.00011,0.99989
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",2e-05,0.99998
"spam","spam",1,0
"spam","spam",0.99993,7e-05
"ham","ham",0.00071,0.99929
"ham","ham",0.00071,0.99929
"ham","ham",0.00012,0.99988
"ham","ham",0.00046,0.99954
"ham","ham",6e-05,0.99994
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",6e-05,0.99994
"ham","ham",0.0037,0.9963
"ham","ham",0.0543,0.9457
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",9e-05,0.99991
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"spam","spam",1,0
"ham","ham",0.00018,0.99982
"ham","ham",9e-05,0.99991
"ham","ham",0,1
"ham","ham",0.00098,0.99902
"ham","ham",0,1
"ham","ham",0.00838,0.99162
"ham","ham",0.00029,0.99971
"ham","ham",2e-05,0.99998
"ham","ham",0.00013,0.99987
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",5e-05,0.99995
"spam","spam",1,0
"ham","ham",0.00052,0.99948
"ham","ham",1e-05,0.99999
"ham","ham",0.00022,0.99978
"ham","ham",0.00016,0.99984
"ham","ham",0.00071,0.99929
"spam","spam",1,0
"ham","ham",0,1
"spam","spam",0.99996,4e-05
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00017,0.99983
"spam","spam",0.99405,0.00595
"ham","ham",0.00071,0.99929
"ham","ham",0.00032,0.99968
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.0035,0.9965
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",3e-04,0.9997
"ham","ham",8e-05,0.99992
"spam","spam",0.98933,0.01067
"ham","ham",5e-05,0.99995
"ham","ham",2e-05,0.99998
"ham","ham",8e-05,0.99992
"ham","ham",0.01072,0.98928
"ham","ham",0.00042,0.99958
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00011,0.99989
"ham","ham",0.00035,0.99965
"spam","spam",0.99959,0.00041
"ham","ham",0,1
"ham","ham",0.00711,0.99289
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"spam","ham",0.01243,0.98757
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.03989,0.96011
"ham","ham",0.00033,0.99967
"ham","ham",2e-05,0.99998
"ham","ham",7e-05,0.99993
"spam","spam",1,0
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00038,0.99962
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00108,0.99892
"ham","ham",8e-05,0.99992
"spam","spam",0.92614,0.07386
"spam","spam",1,0
"ham","ham",8e-05,0.99992
"ham","ham",0,1
"ham","ham",0.00081,0.99919
"ham","ham",0.00048,0.99952
"ham","ham",0.00196,0.99804
"ham","ham",0.02234,0.97766
"ham","ham",0.00071,0.99929
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0.00086,0.99914
"ham","ham",6e-05,0.99994
"ham","ham",0,1
"ham","ham",0.00033,0.99967
"ham","ham",1e-05,0.99999
"spam","spam",0.99823,0.00177
"ham","ham",7e-05,0.99993
"ham","ham",7e-05,0.99993
"ham","ham",4e-05,0.99996
"ham","ham",0.00326,0.99674
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",4e-05,0.99996
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.0219,0.9781
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",0.00028,0.99972
"ham","ham",0.00026,0.99974
"ham","ham",0.03772,0.96228
"spam","spam",1,0
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.00142,0.99858
"ham","ham",5e-05,0.99995
"spam","spam",1,0
"ham","ham",0.00723,0.99277
"ham","ham",0.00028,0.99972
"ham","ham",0.00396,0.99604
"ham","ham",0.00035,0.99965
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",8e-05,0.99992
"ham","ham",4e-05,0.99996
"ham","ham",0.00022,0.99978
"ham","ham",1e-04,0.9999
"ham","ham",0.03989,0.96011
"ham","ham",0.00071,0.99929
"ham","ham",0.00122,0.99878
"ham","ham",0.00144,0.99856
"ham","ham",1e-05,0.99999
"ham","ham",8e-05,0.99992
"ham","ham",0,1
"ham","ham",0.00011,0.99989
"ham","ham",0,1
"ham","ham",7e-05,0.99993
"ham","ham",0.00013,0.99987
"ham","ham",2e-05,0.99998
"ham","ham",1e-05,0.99999
"ham","ham",0.00042,0.99958
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0.00065,0.99935
"ham","ham",0.00325,0.99675
"ham","ham",0,1
"ham","ham",0.00219,0.99781
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00019,0.99981
"ham","ham",3e-05,0.99997
"ham","ham",0.00619,0.99381
"ham","ham",2e-05,0.99998
"ham","ham",0.00038,0.99962
"ham","ham",4e-05,0.99996
"ham","ham",1e-05,0.99999
"ham","ham",0.00071,0.99929
"ham","ham",0.00018,0.99982
"ham","ham",9e-05,0.99991
"ham","ham",4e-05,0.99996
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.00034,0.99966
"ham","ham",0.00029,0.99971
"spam","spam",1,0
"ham","ham",0.00015,0.99985
"ham","ham",0,1
"ham","ham",0.01391,0.98609
"ham","ham",2e-05,0.99998
"ham","ham",0.00196,0.99804
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0.00028,0.99972
"ham","ham",0.00065,0.99935
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",5e-05,0.99995
"ham","ham",1e-05,0.99999
"ham","ham",0.01363,0.98637
"spam","spam",0.99727,0.00273
"ham","ham",2e-05,0.99998
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"spam","spam",0.99996,4e-05
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",4e-05,0.99996
"ham","ham",0,1
"ham","ham",0.00944,0.99056
"ham","ham",3e-04,0.9997
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",1e-04,0.9999
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00011,0.99989
"ham","ham",4e-05,0.99996
"ham","ham",0,1
"spam","spam",0.99989,0.00011
"ham","ham",0.00077,0.99923
"ham","ham",0.37209,0.62791
"ham","ham",0.00098,0.99902
"spam","ham",3e-05,0.99997
"ham","ham",0.00025,0.99975
"ham","ham",3e-05,0.99997
"ham","ham",1e-05,0.99999
"ham","ham",4e-05,0.99996
"spam","spam",1,0
"ham","ham",0.00017,0.99983
"ham","ham",0,1
"ham","ham",5e-05,0.99995
"ham","ham",0.00069,0.99931
"ham","ham",0.00066,0.99934
"ham","ham",0,1
"ham","ham",0.01407,0.98593
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"spam","spam",0.99825,0.00175
"spam","spam",0.99925,0.00075
"ham","ham",0.00011,0.99989
"ham","ham",0.01101,0.98899
"ham","ham",0.00845,0.99155
"ham","ham",1e-05,0.99999
"ham","ham",2e-05,0.99998
"ham","ham",1e-05,0.99999
"ham","ham",0.00024,0.99976
"ham","ham",0,1
"spam","ham",0.06244,0.93756
"ham","ham",0.00012,0.99988
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",0.02586,0.97414
"ham","ham",0,1
"ham","ham",0.02793,0.97207
"spam","ham",0.03452,0.96548
"spam","spam",0.99994,6e-05
"ham","ham",5e-04,0.9995
"ham","ham",0.00098,0.99902
"ham","ham",0,1
"ham","ham",0.00015,0.99985
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.00028,0.99972
"ham","ham",0.00063,0.99937
"spam","ham",0.47536,0.52464
"ham","ham",0.00071,0.99929
"spam","spam",1,0
"ham","ham",0.00124,0.99876
"ham","ham",0,1
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0.00019,0.99981
"spam","spam",0.99966,0.00034
"ham","ham",1e-04,0.9999
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",0.00021,0.99979
"ham","ham",6e-05,0.99994
"ham","ham",1e-05,0.99999
"ham","ham",0.00023,0.99977
"ham","ham",0.00071,0.99929
"ham","ham",0.00017,0.99983
"spam","ham",0.13223,0.86777
"ham","ham",0.00043,0.99957
"ham","ham",0.00096,0.99904
"spam","ham",0.0274,0.9726
"ham","ham",0.00071,0.99929
"ham","ham",0.00071,0.99929
"ham","ham",6e-05,0.99994
"ham","ham",6e-05,0.99994
"ham","ham",0.00018,0.99982
"spam","spam",1,0
"ham","ham",2e-05,0.99998
"ham","ham",0.00133,0.99867
"spam","spam",0.99935,0.00065
"ham","ham",2e-05,0.99998
"ham","ham",5e-05,0.99995
"ham","ham",0.00352,0.99648
"spam","spam",1,0
"spam","spam",0.99999,1e-05
"ham","ham",1e-05,0.99999
"ham","ham",0.00071,0.99929
"ham","ham",0.00069,0.99931
"ham","ham",4e-05,0.99996
"ham","ham",7e-05,0.99993
"ham","ham",4e-05,0.99996
"spam","spam",1,0
"ham","ham",2e-05,0.99998
"ham","ham",0.02663,0.97337
"ham","ham",3e-05,0.99997
"ham","ham",1e-05,0.99999
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0.00093,0.99907
"ham","ham",0.00018,0.99982
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.00247,0.99753
"ham","ham",0.00035,0.99965
"ham","ham",0,1
"spam","ham",0.06493,0.93507
"ham","ham",5e-04,0.9995
"spam","spam",0.99987,0.00013
"ham","ham",0.00548,0.99452
"ham","ham",0.00018,0.99982
"spam","ham",0.11007,0.88993
"ham","ham",0.00035,0.99965
"ham","ham",1e-04,0.9999
"ham","ham",0.00036,0.99964
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00446,0.99554
"ham","ham",0.00169,0.99831
"spam","spam",0.9547,0.0453
"ham","ham",1e-05,0.99999
"ham","ham",0.00071,0.99929
"ham","ham",1e-05,0.99999
"spam","spam",0.99999,1e-05
"ham","ham",3e-05,0.99997
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0.00024,0.99976
"ham","ham",0,1
"ham","ham",9e-05,0.99991
"ham","ham",0,1
"ham","ham",0.00055,0.99945
"ham","ham",7e-05,0.99993
"ham","ham",0.00036,0.99964
"ham","ham",0,1
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",0,1
"ham","ham",0.00016,0.99984
"ham","ham",8e-05,0.99992
"ham","ham",7e-05,0.99993
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",0.00092,0.99908
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",2e-05,0.99998
"spam","spam",1,0
"ham","ham",0,1
"ham","ham",0,1
"ham","ham",4e-05,0.99996
"spam","spam",1,0
"ham","ham",0.00604,0.99396
"ham","ham",0.00017,0.99983
"ham","ham",0.00057,0.99943
"ham","ham",0,1
"ham","ham",0.00025,0.99975
"ham","ham",0.00158,0.99842
"spam","spam",0.99995,5e-05
"ham","ham",3e-05,0.99997
"ham","ham",0,1
"ham","ham",1e-05,0.99999
"ham","ham",2e-05,0.99998
"ham","ham",1e-05,0.99999
"ham","ham",3e-05,0.99997
"spam","spam",0.99988,0.00012
"ham","ham",1e-05,0.99999
"ham","ham",1e-05,0.99999
"spam","spam",1,0
"spam","spam",1,0
"spam","spam",1,0
"ham","ham",0.00131,0.99869
"ham","ham",0,1
"ham","ham",0.00024,0.99976
"ham","ham",0.00022,0.99978
"ham","ham",0,1
"ham","ham",0.06692,0.93308
"spam","spam",0.95882,0.04118
"ham","ham",0.00044,0.99956
"ham","ham",0.00944,0.99056
